 kod_knihy,nazev,autor,Kategorie, obor_zanr,umisteni,signatura,zpusob_ziskani,mautritni,pujčena
109,Lidské tělo,,odborná,biologie,inventář,Žk177,koupená,ne,ne
110,Tajemství přírody,,odborná,biologie,inventář,Žk178,koupená,ne,ne
231,Život v přírodě – Deštný prales,,odborná,biologie,inventář,Žk333,koupená,ne,ne
368,Život v přírodě – Deštný prales,,odborná,biologie,inventář,Žk489,koupená,ne,ne
369,Život v přírodě - Hory,,odborná,biologie,inventář,Žk490,koupená,ne,ne
370,Život v přírodě – Moře a oceány,,odborná,biologie,inventář,Žk491,koupená,ne,ne
371,Život v přírodě - Savany,,odborná,biologie,inventář,Žk492,koupená,ne,ne
372,Život v přírodě - Řeky,,odborná,biologie,inventář,Žk493,koupená,ne,ne
440,Svět zvířat I – Savci (1),,odborná,biologie,inventář,Žk570,koupená,ne,ne
441,Svět zvířat II – Savci (2),,odborná,biologie,inventář,Žk571,koupená,ne,ne
726,Svět zvířat III – Savci (3),,odborná,biologie,inventář,Žk876,koupená,ne,ne
442,Svět zvířat IV – Ptáci (1),,odborná,biologie,inventář,Žk572,koupená,ne,ne
443,Svět zvířat V – Ptáci (2),,odborná,biologie,inventář,Žk573,koupená,ne,ne
727,Svět zvířat VI – Ptáci (3),,odborná,biologie,inventář,Žk877,koupená,ne,ne
744,"Svět zvířat VII – Obojživelníci, plazi",,odborná,biologie,inventář,Žk894,koupená,ne,ne
444,Svět zvířat VIII – Ryby (1),,odborná,biologie,inventář,Žk574,koupená,ne,ne
728,Svět zvířat IX – Ryby (2),,odborná,biologie,inventář,Žk878,koupená,ne,ne
745,Svět zvířat X- Bezobratlí (1),,odborná,biologie,inventář,Žk895,koupená,ne,ne
746,"Svět zvířat XI – Bezobratlí (2), Hmyz",,odborná,biologie,inventář,Žk896,koupená,ne,ne
747,Svět zvířat XII – Domácí zvířata,,odborná,biologie,inventář,Žk897,koupená,ne,ne
504,Houby,,odborná,biologie,inventář,Žk637,koupená,ne,ne
505,Chov domácích mazlíčků,,odborná,biologie,inventář,Žk638,koupená,ne,ne
506,Rodinná encyklopedie medicíny,,odborná,biologie,inventář,Žk640,koupená,ne,ne
601,Zvíře,,odborná,biologie,inventář,Žk743,koupená,ne,ne
613,Genetika pro gymnázia,,odborná,biologie,inventář,Žk756,koupená,ne,ne
614,Biologie člověka pro gymnázia,,odborná,biologie,inventář,Žk757,koupená,ne,ne
,Biologie rostlin pro gymnázia,,odborná,biologie,inventář,Žk755,koupená,ne,ne
628,Ekologie pro gymnázia,,odborná,biologie,inventář,Žk771,koupená,ne,ne
629,Obecná biologie pro gymnázia,,odborná,biologie,inventář,Žk772,koupená,ne,ne
617,Biologie a fyziologie člověka,,odborná,biologie,inventář,Žk760,koupená,ne,ne
641,Zoologie,,odborná,biologie,inventář,Žk784,koupená,ne,ne
914,Fauna,,odborná,biologie,dar,,koupená,ne,ne
932,Velká kniha o psech,"Tylor, David",odborná,biologie,KPGO,KP99/10,koupená,ne,ne
376,Malá encyklopedie moderní ekonomie,,odborná,ekonomie,inventář,Žk497,koupená,ne,ne
809,Operační výzkum,"Jablonský, Josef",odborná,ekonomie,inventář,Žk961,koupená,ne,ne
946,"Všeobecná encyklopedie Diderot 1, A-B",,odborná,encyklopedie,KPGO,KP99/28,koupená,ne,ne
947,"Všeobecná encyklopedie Diderot 2, C-F",,odborná,encyklopedie,KPGO,KP99/29,koupená,ne,ne
948,"Všeobecná encyklopedie Diderot 3, G-J",,odborná,encyklopedie,KPGO,KP99/30,koupená,ne,ne
949,"Všeobecná encyklopedie Diderot 4, K-L",,odborná,encyklopedie,KPGO,KP99/31,koupená,ne,ne
950,"Všeobecná encyklopedie Diderot 5, M-O",,odborná,encyklopedie,KPGO,KP99/32,koupená,ne,ne
951,"Všeobecná encyklopedie Diderot 6, P-R",,odborná,encyklopedie,KPGO,KP99/33,koupená,ne,ne
952,"Všeobecná encyklopedie Diderot 7, Ř-Š",,odborná,encyklopedie,KPGO,KP99/34,koupená,ne,ne
953,Všeobecná encyklopedie Diderot 8 T-Ž,,odborná,encyklopedie,KPGO,KP99/35,koupená,ne,ne
102,Tao fyziky,"Capra, Fritjof",odborná,filozofie,inventář,Žk168,koupená,ne,ne
103,Malé dějiny filozofie,"Storig, Hans Joachim",odborná,filozofie,inventář,Žk169,koupená,ne,ne
520,Indická filozofie,"Bondy, Egon",odborná,filozofie,inventář,Žk656,koupená,ne,ne
766,Snadno a rychle filozofem,,odborná,filozofie,inventář,Žk917,koupená,ne,ne
771,Svět jako vůle a představa,"Schopenhauer, Artur",odborná,filozofie,inventář,Žk923,koupená,ne,ne
763,Vyfoťte si Petru aneb Máme doma digitál,,odborná,fotografie,inventář,Žk914,koupená,ne,ne
104,Stručná historie času,"Hawking, Stephen",odborná,fyzika,inventář,Žk170,koupená,ne,ne
214,Černé díry a budoucnost vesmíru,"Hawking, Stephen",odborná,fyzika,inventář,Žk314,koupená,ne,ne
