kod knihy,Nazev,Autor,Kategorie,Obor/zanr,Umisteni,Signatura,Způsob ziskani,mautritni,pujcena
109,Lidske telo,,odborna,biologie,inventar,Zk177,koupena,no,no
110,Tajemstvi prirody,,odborna,biologie,inventar,Zk178,koupena,no,no
231,Zivot v prirode – Destny prales,,odborna,biologie,inventar,Zk333,koupena,no,no
368,Zivot v prirode – Destny prales,,odborna,biologie,inventar,Zk489,koupena,no,no
369,Zivot v prirode - Hory,,odborna,biologie,inventar,Zk490,koupena,no,no
370,Zivot v prirode – More a oceany,,odborna,biologie,inventar,Zk491,koupena,no,no
371,Zivot v prirode - Savany,,odborna,biologie,inventar,Zk492,koupena,no,no
372,Zivot v prirode - Reky,,odborna,biologie,inventar,Zk493,koupena,no,no
440,Svet zvirat I – Savci (1),,odborna,biologie,inventar,Zk570,koupena,no,no
441,Svet zvirat II – Savci (2),,odborna,biologie,inventar,Zk571,koupena,no,no
726,Svet zvirat III – Savci (3),,odborna,biologie,inventar,Zk876,koupena,no,no
442,Svet zvirat IV – Ptaci (1),,odborna,biologie,inventar,Zk572,koupena,no,no
443,Svet zvirat V – Ptaci (2),,odborna,biologie,inventar,Zk573,koupena,no,no
727,Svet zvirat VI – Ptaci (3),,odborna,biologie,inventar,Zk877,koupena,no,no
744,"Svet zvirat VII – Obojzivelnici, plazi",,odborna,biologie,inventar,Zk894,koupena,no,no
444,Svet zvirat VIII – Ryby (1),,odborna,biologie,inventar,Zk574,koupena,no,no
728,Svet zvirat IX – Ryby (2),,odborna,biologie,inventar,Zk878,koupena,no,no
745,Svet zvirat X- Bezobratli (1),,odborna,biologie,inventar,Zk895,koupena,no,no
746,"Svet zvirat XI – Bezobratli (2), Hmyz",,odborna,biologie,inventar,Zk896,koupena,no,no
747,Svet zvirat XII – Domaci zvirata,,odborna,biologie,inventar,Zk897,koupena,no,no
504,Houby,,odborna,biologie,inventar,Zk637,koupena,no,no
505,Chov domacich mazlicků,,odborna,biologie,inventar,Zk638,koupena,no,no
506,Rodinna encyklopedie mediciny,,odborna,biologie,inventar,Zk640,koupena,no,no
601,Zvire,,odborna,biologie,inventar,Zk743,koupena,no,no
613,Genetika pro gymnazia,,odborna,biologie,inventar,Zk756,koupena,no,no
